polygon group,polygon id,vertice id,x,y
crystals_1,12,3,130.347900390625,115.26919555664062
crystals_1,13,0,127.74981689453125,116.76919555664062
crystals_1,13,1,129.24981689453125,119.36726379394531
crystals_1,13,2,126.65174102783203,120.86726379394531
crystals_1,13,3,125.15174102783203,118.26919555664062
crystals_1,14,0,134.17144775390625,117.39178466796875
crystals_1,14,1,135.67144775390625,119.98985290527344
crystals_1,14,2,133.07337951660156,121.48985290527344
crystals_1,14,3,131.57337951660156,118.89178466796875
crystals_1,15,0,130.2743377685547,119.64178466796875
crystals_1,15,1,131.7743377685547,122.23985290527344
crystals_1,15,2,129.17626953125,123.73985290527344
crystals_1,15,3,127.67626190185547,121.14178466796875
crystals_1,16,0,134.097900390625,121.76437377929688
crystals_1,16,1,135.597900390625,124.36245727539062
crystals_1,16,2,132.99981689453125,125.86245727539062
crystals_1,16,3,131.49981689453125,123.26437377929688
crystals_1,17,0,119.37962341308594,117.27159118652344
crystals_1,17,1,120.87962341308594,119.86967468261719
crystals_1,17,2,118.28155517578125,121.36967468261719
crystals_1,17,3,116.78155517578125,118.77159118652344
crystals_1,18,0,111.58540344238281,121.77159118652344
crystals_1,18,1,113.08540344238281,124.36967468261719
crystals_1,18,2,110.48731994628906,125.86967468261719
crystals_1,18,3,108.98731994628906,123.27159118652344
crystals_1,19,0,119.9555892944336,121.26919555664062
crystals_1,19,1,121.4555892944336,123.86726379394531
crystals_1,19,2,118.85751342773438,125.36726379394531
crystals_1,19,3,117.35751342773438,122.76919555664062
crystals_1,20,0,114.75943756103516,124.26919555664062
crystals_1,20,1,116.25943756103516,126.86726379394531
crystals_1,20,2,113.66136169433594,128.3672637939453
crystals_1,20,3,112.16136169433594,125.76919555664062
crystals_1,21,0,110.86231994628906,126.51919555664062
crystals_1,21,1,112.36231994628906,129.1172637939453
crystals_1,21,2,109.76425170898438,130.6172637939453
crystals_1,21,3,108.26425170898438,128.01919555664062
crystals_1,22,0,123.85270690917969,119.01919555664062
crystals_1,22,1,125.35270690917969,121.61726379394531
crystals_1,22,2,122.75462341308594,123.11726379394531
crystals_1,22,3,121.25462341308594,120.51919555664062
crystals_1,23,0,121.18107604980469,124.89178466796875
crystals_1,23,1,122.68107604980469,127.48985290527344
crystals_1,23,2,120.08299255371094,128.98985290527344
crystals_1,23,3,118.58299255371094,126.39178466796875
crystals_1,24,0,117.2839584350586,127.14178466796875
crystals_1,24,1,118.7839584350586,129.73985290527344
crystals_1,24,2,116.18588256835938,131.23985290527344
crystals_1,24,3,114.68588256835938,128.64178466796875
crystals_1,25,0,121.10751342773438,129.26437377929688
crystals_1,25,1,122.60751342773438,131.86245727539062
crystals_1,25,2,120.00943756103516,133.36245727539062
crystals_1,25,3,118.50943756103516,130.76437377929688
crystals_1,26,0,106.38925170898438,124.77159118652344
crystals_1,26,1,107.88925170898438,127.36967468261719
crystals_1,26,2,105.29116821289062,128.8696746826172
crystals_1,26,3,103.79116821289062,126.27159118652344
crystals_1,27,0,98.59501647949219,129.27159118652344
crystals_1,27,1,100.09501647949219,131.8696746826172
crystals_1,27,2,97.49694061279297,133.3696746826172
crystals_1,27,3,95.99694061279297,130.77159118652344
crystals_1,28,0,106.9652099609375,128.76919555664062
crystals_1,28,1,108.4652099609375,131.3672637939453
crystals_1,28,2,105.86713409423828,132.8672637939453
crystals_1,28,3,104.36713409423828,130.26919555664062
crystals_1,29,0,101.76905822753906,131.76919555664062
crystals_1,29,1,103.26905822753906,134.3672637939453
crystals_1,29,2,100.67098236083984,135.8672637939453
crystals_1,29,3,99.17098236083984,133.26919555664062
crystals_1,30,0,97.87194061279297,134.01919555664062
crystals_1,30,1,99.37194061279297,136.6172637939453
crystals_1,30,2,96.77386474609375,138.1172637939453
crystals_1,30,3,95.27386474609375,135.51919555664062
crystals_1,31,0,84.88156127929688,141.51919555664062
crystals_1,31,1,86.38156127929688,144.1172637939453
crystals_1,31,2,83.78348541259766,145.6172637939453
crystals_1,31,3,82.28348541259766,143.01919555664062
crystals_1,32,0,108.19068908691406,132.39178466796875
crystals_1,32,1,109.69068908691406,134.98985290527344
crystals_1,32,2,107.09261322021484,136.48985290527344
crystals_1,32,3,105.59261322021484,133.89178466796875
crystals_1,33,0,104.2935791015625,134.64178466796875
crystals_1,33,1,105.7935791015625,137.23985290527344
crystals_1,33,2,103.19549560546875,138.73985290527344
crystals_1,33,3,101.69549560546875,136.14178466796875
crystals_1,34,0,108.11713409423828,136.76437377929688
crystals_1,34,1,109.61713409423828,139.36245727539062
crystals_1,34,2,107.01905822753906,140.86245727539062
crystals_1,34,3,105.51905822753906,138.26437377929688
crystals_1,35,0,93.39886474609375,132.27159118652344
crystals_1,35,1,94.89886474609375,134.8696746826172
crystals_1,35,2,92.30078887939453,136.3696746826172
crystals_1,35,3,90.80078887939453,133.77159118652344
crystals_1,36,0,85.6046371459961,136.77159118652344
crystals_1,36,1,87.1046371459961,139.3696746826172
crystals_1,36,2,84.50656127929688,140.8696746826172
crystals_1,36,3,83.00656127929688,138.27159118652344
crystals_1,37,0,93.9748306274414,136.26919555664062
crystals_1,37,1,95.4748306274414,138.8672637939453
crystals_1,37,2,92.87675476074219,140.3672637939453
crystals_1,37,3,91.37675476074219,137.76919555664062
crystals_1,38,0,88.77867889404297,139.26919555664062
crystals_1,38,1,90.27867889404297,141.8672637939453
crystals_1,38,2,87.68060302734375,143.3672637939453
crystals_1,38,3,86.18060302734375,140.76919555664062
crystals_1,39,0,95.20030975341797,139.89178466796875
crystals_1,39,1,96.70030975341797,142.48985290527344
crystals_1,39,2,94.10223388671875,143.98985290527344
crystals_1,39,3,92.60223388671875,141.39178466796875
crystals_1,40,0,91.30319213867188,142.14178466796875
crystals_1,40,1,92.80319213867188,144.73985290527344
crystals_1,40,2,90.20511627197266,146.23985290527344
crystals_1,40,3,88.70511627197266,143.64178466796875
crystals_1,41,0,95.12675476074219,144.26437377929688
crystals_1,41,1,96.62675476074219,146.86245727539062
crystals_1,41,2,94.02867889404297,148.36245727539062
crystals_1,41,3,92.52867889404297,145.76437377929688
crystals_1,42,0,80.40848541259766,139.77159118652344
crystals_1,42,1,81.90848541259766,142.3696746826172
crystals_1,42,2,79.31040954589844,143.8696746826172
crystals_1,42,3,77.81040954589844,141.27159118652344
crystals_1,43,0,72.6142578125,144.27159118652344
crystals_1,43,1,74.1142578125,146.8696746826172
crystals_1,43,2,71.51618194580078,148.3696746826172
crystals_1,43,3,70.01618194580078,145.77159118652344
crystals_1,44,0,80.98445129394531,143.76919555664062
crystals_1,44,1,82.48445129394531,146.3672637939453
crystals_1,44,2,79.88636779785156,147.8672637939453
crystals_1,44,3,78.38636779785156,145.26919555664062
crystals_1,45,0,75.78829956054688,146.76919555664062
crystals_1,45,1,77.28829956054688,149.3672637939453
crystals_1,45,2,74.69021606445312,150.8672637939453
crystals_1,45,3,73.19021606445312,148.26919555664062
crystals_1,46,0,82.20993041992188,147.39178466796875
crystals_1,46,1,83.70993041992188,149.98985290527344
crystals_1,46,2,81.11185455322266,151.48985290527344
crystals_1,46,3,79.61185455322266,148.89178466796875
crystals_1,47,0,78.31281280517578,149.64178466796875
crystals_1,47,1,79.81281280517578,152.23985290527344
crystals_1,47,2,77.21473693847656,153.73985290527344
crystals_1,47,3,75.71473693847656,151.14178466796875
crystals_1,48,0,82.13636779785156,151.76437377929688
crystals_1,48,1,83.63636779785156,154.36245727539062
crystals_1,48,2,81.03829956054688,155.86245727539062
crystals_1,48,3,79.53829956054688,153.26437377929688
crystals_1,49,0,54.42772674560547,154.77159118652344
crystals_1,49,1,55.92772674560547,157.3696746826172
crystals_1,49,2,53.32965087890625,158.8696746826172
crystals_1,49,3,51.82965087890625,156.27159118652344
crystals_1,50,0,46.63349533081055,159.27159118652344
crystals_1,50,1,48.13349533081055,161.8696746826172
crystals_1,50,2,45.53541946411133,163.3696746826172
crystals_1,50,3,44.03541946411133,160.77159118652344
crystals_1,51,0,55.003684997558594,158.76919555664062
crystals_1,51,1,56.503684997558594,161.3672637939453
crystals_1,51,2,53.905609130859375,162.8672637939453
crystals_1,51,3,52.405609130859375,160.26919555664062
crystals_1,52,0,49.807533264160156,161.76919555664062
crystals_1,52,1,51.307533264160156,164.3672637939453
crystals_1,52,2,48.70945739746094,165.8672637939453
crystals_1,52,3,47.20945739746094,163.26919555664062
crystals_1,53,0,56.22916793823242,162.39178466796875
crystals_1,53,1,57.72916793823242,164.98985290527344
crystals_1,53,2,55.13108825683594,166.48985290527344
crystals_1,53,3,53.63108825683594,163.89178466796875
crystals_1,54,0,52.332054138183594,164.64178466796875
crystals_1,54,1,53.832054138183594,167.23985290527344
crystals_1,54,2,51.233978271484375,168.73985290527344
crystals_1,54,3,49.733978271484375,166.14178466796875
crystals_1,55,0,56.155609130859375,166.76437377929688
crystals_1,55,1,57.655609130859375,169.36245727539062
crystals_1,55,2,55.057533264160156,170.86245727539062
crystals_1,55,3,53.557533264160156,168.26437377929688
crystals_1,56,0,67.41810607910156,147.27159118652344
crystals_1,56,1,68.91810607910156,149.8696746826172
crystals_1,56,2,66.32003021240234,151.3696746826172
crystals_1,56,3,64.82003021240234,148.77159118652344
crystals_1,57,0,59.623878479003906,151.77159118652344
crystals_1,57,1,61.123878479003906,154.3696746826172
crystals_1,57,2,58.52580261230469,155.8696746826172
crystals_1,57,3,57.02580261230469,153.27159118652344
crystals_1,58,0,67.99406433105469,151.26919555664062
crystals_1,58,1,69.49406433105469,153.8672637939453
crystals_1,58,2,66.89598846435547,155.3672637939453
crystals_1,58,3,65.39598846435547,152.76919555664062
crystals_1,59,0,62.79791259765625,154.26919555664062
crystals_1,59,1,64.29791259765625,156.8672637939453
crystals_1,59,2,61.69983673095703,158.3672637939453
crystals_1,59,3,60.19983673095703,155.76919555664062
crystals_1,60,0,69.21955108642578,154.89178466796875
crystals_1,60,1,70.71955108642578,157.48985290527344
crystals_1,60,2,68.12147521972656,158.98985290527344
crystals_1,60,3,66.62147521972656,156.39178466796875
crystals_1,61,0,65.32243347167969,157.14178466796875
crystals_1,61,1,66.82243347167969,159.73985290527344
crystals_1,61,2,64.22435760498047,161.23985290527344
crystals_1,61,3,62.72435760498047,158.64178466796875
crystals_1,62,0,69.14598846435547,159.26437377929688
crystals_1,62,1,70.64598846435547,161.86245727539062
crystals_1,62,2,68.04791259765625,163.36245727539062
crystals_1,62,3,66.54791259765625,160.76437377929688
plate_2,0,0,-15.824382781982422,155.4086151123047
plate_2,0,1,-16.824382781982422,157.1406707763672
plate_2,0,2,-23.969093322753906,153.0156707763672
plate_2,0,3,-22.969093322753906,151.2836151123047
plate_2,1,0,-26.43319320678711,149.2836151123047
plate_2,1,1,-27.43319320678711,151.0156707763672
plate_2,1,2,-36.95947265625,145.5156707763672
plate_2,1,3,-35.95947265625,143.7836151123047
plate_2,2,0,-39.42357635498047,141.7836151123047
plate_2,2,1,-40.42357635498047,143.5156707763672
plate_2,2,2,-49.949851989746094,138.0156707763672
plate_2,2,3,-48.949851989746094,136.2836151123047
plate_2,3,0,-52.41395568847656,134.2836151123047
plate_2,3,1,-53.41395568847656,136.0156707763672
plate_2,3,2,-62.94023513793945,130.5156707763672
plate_2,3,3,-61.94023513793945,128.7836151123047
plate_2,4,0,-65.40433502197266,126.78361511230469
plate_2,4,1,-66.40433502197266,128.5156707763672
plate_2,4,2,-75.93061828613281,123.01567077636719
plate_2,4,3,-74.93061828613281,121.28361511230469
plate_2,5,0,-78.39471435546875,119.28361511230469
plate_2,5,1,-79.39471435546875,121.01567077636719
plate_2,5,2,-88.9209976196289,115.51567077636719
plate_2,5,3,-87.9209976196289,113.78361511230469
plate_2,6,0,-91.38510131835938,111.78361511230469
plate_2,6,1,-92.38510131835938,113.51567077636719
plate_2,6,2,-101.911376953125,108.01567077636719
plate_2,6,3,-100.911376953125,106.28361511230469
plate_2,7,0,-104.37547302246094,104.28361511230469
plate_2,7,1,-105.37547302246094,106.01567077636719
plate_2,7,2,-114.9017562866211,100.51567077636719
plate_2,7,3,-113.9017562866211,98.78361511230469
plate_2,8,0,-117.36585998535156,96.78361511230469
plate_2,8,1,-118.36585998535156,98.51567077636719
plate_2,8,2,-127.67562866210938,93.14067077636719
plate_2,8,3,-126.67562866210938,91.40861511230469
plate_2,9,0,-126.67562866210938,91.40861511230469
plate_2,9,1,-127.67562866210938,93.14067077636719
